RecordId,CreationDate,RecordType,Operation,UserId,AuditData,AssociatedAdminUnits,AssociatedAdminUnitsNames
5504e53b-08c6-4c61-8dd8-1282e00393eb,2025-07-02T18:14:00Z,1,Remove-InboxRule,adi.putra@nusantaraenergy.co.id,"{""AADSessionId"": ""1a8e78f4-ae58-45bc-a3be-bdf9b2d9bab9"", ""AppAccessContext"": {""AADSessionId"": ""513e22b2-592a-4f28-9b19-9115b71fced7""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.859130Z"", ""UniqueTokenId"": ""9faf1ab2-ffa7-4e2f"", ""CreationTime"": ""2025-07-16T08:37:18.859130Z"", ""Id"": ""71e8b32c-d1b5-4dd2-94e9-7f495e2aaee4"", ""Operation"": ""Remove-InboxRule"", ""OrganizationId"": ""c6578322-590a-4acb-8004-8ecfa3a8593c"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""adi.putra@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.9.150"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/Remove-InboxRule"", ""UserId"": ""adi.putra@nusantaraenergy.co.id"", ""AppId"": ""480adc6f-4909-4540-8f7c-bb79b4f4e36b"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""1944b610-1c89-44d9-8c98-769b1f65becf"", ""SessionId"": ""15ec9bad-1904-4640-90f1-dccf16f2651a"", ""TokenObjectId"": ""ebb17648-febb-40cc-a2e5-d99413867c60"", ""TokenTenantId"": ""64c4f7c1-e021-48e1-8110-e76824bb33b0""}",,
c39ce116-058a-480d-9972-e4a117ac511d,2025-07-16T08:20:50.087375Z,1,AddedToGroup,ratna.siregar@nusantaraenergy.co.id,"{""AADSessionId"": ""49fe7b77-2233-4f7a-aa11-822504cf47db"", ""AppAccessContext"": {""AADSessionId"": ""e062b8bc-021f-4831-916b-96541cab2b4f""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.859550Z"", ""UniqueTokenId"": ""493f1902-47fe-4ae8"", ""CreationTime"": ""2025-07-16T08:37:18.859550Z"", ""Id"": ""e16e47bf-9a94-4a52-ac95-6b0a79955920"", ""Operation"": ""AddedToGroup"", ""OrganizationId"": ""83c2fc23-6d3d-4bb6-afd9-856662cb5c3a"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""ratna.siregar@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.3.217"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/AddedToGroup"", ""UserId"": ""ratna.siregar@nusantaraenergy.co.id"", ""AppId"": ""988d9209-d6c7-4bd3-841f-5fc22021a1c7"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""1dde7cbc-d45b-4898-b8d0-7b3816b24493"", ""SessionId"": ""324335b9-8353-4a52-9373-1915e7adc32f"", ""TokenObjectId"": ""2662b839-d59c-466d-88aa-a22c17c261be"", ""TokenTenantId"": ""dababba4-2f77-41c4-9994-e175e91189fc""}",,
4562b6f5-2a7b-450f-ae89-5d91ab4242af,2025-07-02T15:36:00Z,1,AnonymousLinkUpdated,darmawan.teja@nusantaraenergy.co.id,"{""AADSessionId"": ""506e8f0e-7f07-4433-a96f-68f4d1444d31"", ""AppAccessContext"": {""AADSessionId"": ""5cbf3b55-1a15-4e9a-9add-d2b6915d49f9""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.859768Z"", ""UniqueTokenId"": ""52668a30-e4e8-4780"", ""CreationTime"": ""2025-07-16T08:37:18.859768Z"", ""Id"": ""5adb24ea-e3e7-4bb4-aefb-003f4373c84d"", ""Operation"": ""AnonymousLinkUpdated"", ""OrganizationId"": ""3948939b-4087-460f-816a-38a4731264b0"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""darmawan.teja@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.1.192"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/AnonymousLinkUpdated"", ""UserId"": ""darmawan.teja@nusantaraenergy.co.id"", ""AppId"": ""6cf62e15-0c49-4e4a-80c8-563c92a252cc"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""1dd476d5-6a9c-473e-8035-a9afc9416ee5"", ""SessionId"": ""1920c16a-3c28-46bc-b2e7-5e4d94fc3777"", ""TokenObjectId"": ""27100cdd-dda8-4501-af9b-2e6e45bd0dbd"", ""TokenTenantId"": ""3b2f6374-5eed-4fa9-b549-854505e97df7""}",,
65175599-e036-4b32-b0ce-6e3d12482901,2025-07-16T08:20:50.104310Z,1,Set-MailboxCalendarConfiguration,adi.putra@nusantaraenergy.co.id,"{""AADSessionId"": ""03307ba1-6b11-49a3-a714-80c48ce911e4"", ""AppAccessContext"": {""AADSessionId"": ""6b439c7a-6ec5-4c90-ab38-1db9b2375ecd""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.860236Z"", ""UniqueTokenId"": ""14c1017c-635a-42b9"", ""CreationTime"": ""2025-07-16T08:37:18.860236Z"", ""Id"": ""ba07b0de-e9d8-4d28-8fc0-73d5a061eb7d"", ""Operation"": ""Set-MailboxCalendarConfiguration"", ""OrganizationId"": ""ddca7126-2642-4639-ba73-e8954151c16b"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""adi.putra@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.7.197"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/Set-MailboxCalendarConfiguration"", ""UserId"": ""adi.putra@nusantaraenergy.co.id"", ""AppId"": ""16b56fe5-4894-4c4b-a5b9-2a0b7cc39589"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""e7cbf07f-6344-413c-b7ad-8a15b9b70b1f"", ""SessionId"": ""46e23c30-a04c-4a5d-ad32-4ac8f8b1037e"", ""TokenObjectId"": ""14377bef-b3f8-49c6-a0dd-c14f46137e82"", ""TokenTenantId"": ""14a16d73-ed10-4ad5-bd4e-8b048b801a1f""}",,
a61901ff-a62c-4646-a0c1-0dbec525f23b,2025-07-16T08:20:50.088404Z,1,CompanyLinkCreated,adi.putra@nusantaraenergy.co.id,"{""AADSessionId"": ""e8626c56-2acc-48f6-9f27-02e35eb4d34c"", ""AppAccessContext"": {""AADSessionId"": ""be23a186-0a78-4c81-b3b2-c7f3c6c624c0""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.860549Z"", ""UniqueTokenId"": ""c0e7c4b7-ab86-4aa9"", ""CreationTime"": ""2025-07-16T08:37:18.860549Z"", ""Id"": ""6a63dd76-9df8-4010-8985-cc0d801b4ca6"", ""Operation"": ""CompanyLinkCreated"", ""OrganizationId"": ""54b57ea8-1bbe-45a9-904b-30543eb6000c"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""adi.putra@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.4.73"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/CompanyLinkCreated"", ""UserId"": ""adi.putra@nusantaraenergy.co.id"", ""AppId"": ""8d9b62b2-e7e5-4edf-a757-9803adaaaf8a"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""947d3743-495b-457a-9a74-c7dc199228a4"", ""SessionId"": ""a6a63acc-03de-4b0b-9030-cdc41930a25f"", ""TokenObjectId"": ""84b853b3-bb8b-4783-80d7-312f1d816968"", ""TokenTenantId"": ""6822e373-e0d5-414a-9387-667b735955d4""}",,
36ab923d-e5bf-4dc9-bbaa-26147ab6eec7,2025-07-16T08:20:50.082654Z,1,FileDownloaded,darmawan.teja@nusantaraenergy.co.id,"{""AADSessionId"": ""bb524ac3-01ae-4bf8-b175-ef00c56eec01"", ""AppAccessContext"": {""AADSessionId"": ""02d6aba9-0709-42ae-a857-dbb21f993e6d""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.860769Z"", ""UniqueTokenId"": ""3fe13fad-1c22-40e5"", ""CreationTime"": ""2025-07-16T08:37:18.860769Z"", ""Id"": ""f14a4111-e20a-40fb-aebd-c63dff79c76d"", ""Operation"": ""FileDownloaded"", ""OrganizationId"": ""edde4927-0aaa-4304-b68b-94ffab1ae501"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""darmawan.teja@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.2.143"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/FileDownloaded"", ""UserId"": ""darmawan.teja@nusantaraenergy.co.id"", ""AppId"": ""bca03e9d-2749-4cdd-9ad2-f1be9baf2296"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""a9b0b7b8-b679-43cb-b7b9-83779908c8dd"", ""SessionId"": ""7a292469-6c0e-4409-a2c3-6dd3f60ab7f6"", ""TokenObjectId"": ""034e751e-ccfd-4d8f-aaa8-d844eda1216e"", ""TokenTenantId"": ""80336fc2-2b31-4ef2-a908-1524df3e59b1""}",,
c6bca3f7-9e38-4f8a-ab9c-6219e82d4612,2025-07-02T15:26:00Z,1,MeetingParticipantDetail,adi.putra@nusantaraenergy.co.id,"{""AADSessionId"": ""50dd4f10-7ef9-404f-b401-70fcb8f8219e"", ""AppAccessContext"": {""AADSessionId"": ""35ab16cb-8252-4409-9ad2-ad3fc65810be""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.861533Z"", ""UniqueTokenId"": ""78abecf1-142d-4f95"", ""CreationTime"": ""2025-07-16T08:37:18.861533Z"", ""Id"": ""24cc3dcf-5bdc-42e1-a019-dc7dee4b667c"", ""Operation"": ""MeetingParticipantDetail"", ""OrganizationId"": ""68de9210-d4ba-474d-9110-9ffb211ecfb0"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""adi.putra@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.3.7"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/MeetingParticipantDetail"", ""UserId"": ""adi.putra@nusantaraenergy.co.id"", ""AppId"": ""60bfa5cb-4bbb-435d-8c45-f83c6d9d1bc4"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""0f0b1dd3-bea6-4133-a10b-b42a4b56ef7f"", ""SessionId"": ""7b7b0297-2e43-43c8-9fb2-1938bbe14d35"", ""TokenObjectId"": ""49e1572c-570a-415a-87bc-c82bfd1411d7"", ""TokenTenantId"": ""17a9b3cd-79eb-454b-956c-9e0adbfaab98""}",,
c1e08308-9089-4895-9d1f-677c90b67d10,2025-07-16T08:20:50.081016Z,1,AnonymousLinkUsed,adi.putra@nusantaraenergy.co.id,"{""AADSessionId"": ""97d0e774-bb0d-4638-a51f-6a8adbfbe586"", ""AppAccessContext"": {""AADSessionId"": ""793ed0e0-fb23-42d4-b0d2-ff581c0a3c53""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.862112Z"", ""UniqueTokenId"": ""4ac4ef77-c666-4b5e"", ""CreationTime"": ""2025-07-16T08:37:18.862112Z"", ""Id"": ""702e6ac5-3b6f-4b7f-b79b-d7abdc07ab23"", ""Operation"": ""AnonymousLinkUsed"", ""OrganizationId"": ""69370342-ecd9-4d90-8e52-188bde1c6864"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""adi.putra@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.3.18"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/AnonymousLinkUsed"", ""UserId"": ""adi.putra@nusantaraenergy.co.id"", ""AppId"": ""a9fcd3f9-2ecc-499d-af5b-5c1f96f031aa"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""c533bf95-800c-4419-b725-2e5ab4a317cd"", ""SessionId"": ""1ed22732-6e2f-4495-aa21-3836a5841041"", ""TokenObjectId"": ""7861c44d-af27-4da7-80a9-1103a4053189"", ""TokenTenantId"": ""75474b97-17f4-4513-89ae-362671a7b7e2""}",,
4011c41f-3277-4739-87fa-5ee652ac7898,2025-07-16T08:20:50.083150Z,1,TeamsUserSignedOut,darmawan.teja@nusantaraenergy.co.id,"{""AADSessionId"": ""cd88c5f2-e3b8-497e-b8e0-7a14820b0214"", ""AppAccessContext"": {""AADSessionId"": ""43c75075-1497-429c-b90c-94c88713ba21""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.862415Z"", ""UniqueTokenId"": ""083958f4-4f36-4762"", ""CreationTime"": ""2025-07-16T08:37:18.862415Z"", ""Id"": ""91ed7342-f83f-4d21-a9a5-134bb2292810"", ""Operation"": ""TeamsUserSignedOut"", ""OrganizationId"": ""fca36886-a53c-4e46-b416-8e53cad7afdc"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""darmawan.teja@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.3.149"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/TeamsUserSignedOut"", ""UserId"": ""darmawan.teja@nusantaraenergy.co.id"", ""AppId"": ""38b57722-8eef-4e00-bc34-9c533604f2ac"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""447cc7a6-a633-4763-9efa-9b9e7b8637db"", ""SessionId"": ""b8cfb30f-4e6f-4058-8ced-b94afb1e1d84"", ""TokenObjectId"": ""34f6d303-0d15-44bc-a84f-d4d359f0c818"", ""TokenTenantId"": ""1ac23390-18eb-478b-aad7-c543c1076955""}",,
c9a9e597-2a64-446a-8757-fd05d7e9add3,2025-07-16T08:20:50.079722Z,1,AddedToGroup,darmawan.teja@nusantaraenergy.co.id,"{""AADSessionId"": ""d50663d9-ced9-4c53-87bb-8b1f41e723fd"", ""AppAccessContext"": {""AADSessionId"": ""a2844c12-a68b-4d6b-8e72-b17f46ac11f3""}, ""IssuedAtTime"": ""2025-07-16T08:32:18.862578Z"", ""UniqueTokenId"": ""d657d74b-50e7-4d8d"", ""CreationTime"": ""2025-07-16T08:37:18.862578Z"", ""Id"": ""c182f4d0-7cc4-486b-be96-62389f26fe91"", ""Operation"": ""AddedToGroup"", ""OrganizationId"": ""aa1b0277-d4f3-460e-9bc5-6f339e469c2d"", ""RecordType"": 1, ""ResultStatus"": ""True"", ""UserKey"": ""darmawan.teja@nusantaraenergy.co.id"", ""UserType"": 2, ""Version"": 1, ""Workload"": ""Exchange"", ""ClientIP"": ""10.0.6.167"", ""ObjectId"": ""outlook.com/Exchange Hosted Orgs/NusantaraEnergy/AddedToGroup"", ""UserId"": ""darmawan.teja@nusantaraenergy.co.id"", ""AppId"": ""8762ede3-6fec-4fd3-8117-3031ed23336d"", ""AppPoolName"": ""MSExchangeOWAAppPool"", ""ExternalAccess"": false, ""OrganizationName"": ""nusantaraenergy.co.id"", ""OriginatingServer"": ""NE-IDNMBX01"", ""RequestId"": ""9146280d-0616-47a1-94e3-342174194c7e"", ""SessionId"": ""b7166798-a970-4255-870f-deefdd12bd20"", ""TokenObjectId"": ""c515f618-503f-4049-bd7f-44c80484d25b"", ""TokenTenantId"": ""65845cd1-f513-4c7d-bb82-9a6c89c161df""}",,
